Unnamed: 0;Name;Category;Servings;Ingredients;Steps;Estimated Total Cooking Time (minutes)
17;Apple pie;Desserts;8;[['Renette apples', '930g'], ['Sugar', '200g'], ['Flour 00', '250g'], ['Butter', '100g'], ['Whole milk', '150g'], ['Egg', '2'], ['Lemon', '1']];To make the apple pie first, melt the butter in the microwave or in a bain -marie, and keep it aside.Grate the lemon zest then keep aside both the zest and the juice.Divide the apples in half and raise the torsol peel the apples then cut them into four parts put the apples cut into slices in a bowl and sprinkle them with the lemon juice, mixing them well: this operation will serve not to make them blackened.Then pass the 00 flour with the baking powder then, in a large bowl, pour the eggs and part of the dose of sugar, start beating with the electric whisk when the mixture starts to lighten, add a pinch of flavored salt withThe cinnamon powder and also add the grated lemon zest then, always continuing to whip with the whisk, add the flour and yeast one spoon at a time when the powders are completely incorporated, lower the speed of the electric whisk and pour the milkEywed at room temperature when the milk is also completely incorporated, stop the whips: the dough is ready separately, drain the apples in a strainer to remove the lemon juice, mix gently from the bottom up to incorporate them well butter and sprinkle withsugar a 22 cm diameter cake tin and, with the help of a spatula, pour the dough the cake is ready to be bought to cook;45
53;Gratin cauliflowers;Side Dishes;4;[['Cauliflower', '1kg'], ['Butter', '30g'], ['Flour 00', '20g'], ['Whole milk', '300g'], ['Nutmeg', 'q.b.']];"First wash and clean the cauliflower by removing the external leaves and the central torsol then detached the peaks, in the meantime, prepare while in another pan from the bottom often let the butter gently melt the butter once melted, add the flour in the butter pan stirringImmediately with a whisk, brown slightly continue to mix to avoid the formation of lumps;Feel with nutmeg pepper and salt and thicken the mixture only for a few minutes, stirring always. The béchamel must remain rather liquid in the meantime, the cimettes of cavofiore will be cooked, drain them carefully and pour inside the peaks of cauliflower cover with the béchamelSeason with pepper to taste (16-17) and then bake in a preheated oven at 180 ° in static mode for 10 minutes.After this time, set the 220 ° grill mode and cook another 10 minutes, in order to obtain a golden crust.Your gratin cauliflowers are ready to be served";30
83;Hot milk cake;Desserts;6;[['Whole milk', '200g'], ['Egg', '210g'], ['Flour 00', '200g'], ['Sugar', '180g'], ['Butter', '60g'], ['Lemon zest', '1']];To make the hot milk cake, break the eggs in a bowl, add a pinch of salt when the mixture is clear and frothy, roughly 10 minutes later, turn off the electric whisk place a strainer over the bowl and sift the powders,Then flour and yeast, gradually adding them while mixing with the spatula from the bottom upwards so as to incorporate them without dismantling the mixture at this point, take a couple of spoonfuls of dough and keep them aside in another container in a saucepan put on toHeat the milk over medium heat, then add the butter, mix well with a whisk to obtain a sort of batter now pour the batter into the largest container with the rest of the dough mix gently with a spatula and finally grate the buttered lemon zestAnd flour a 20 cm diameter cake tin and fill it with the dough obtained cook in the preheated static oven at 180 ° on the lowest shelf (not in contact with the base) for about 35 minutes.After the first 25 minutes, transfer the pan to the central shelf and continue for the remaining 10 minutes.As soon as the cake is ready (check with a toothpick that is also cooked internally, otherwise continue cooking), take it out of the oven and let it cool then extract it from the cake tin and place it on a wire rack to completely cool your hot milk cake is ready to betasted;45
102;Apple pancakes;Desserts;24;[['Green apples', '580g'], ['Lemon juice', '1'], ['Flour 00', '150g'], ['Whole milk', '200g'], ['Egg', '2'], ['Sugar', '30g']];To prepare the apple pancakes, start from the batter: in a bowl beat the 2 whole eggs, then add the milk then sift the flour sifted even the powder baking powder then mix all the ingredients thoroughly with a hand whiskOnce ready, keep the batter aside squeezes the juice of a lemon that will serve you to not make the apple slices blackeue now peel the apples with the help of a pelaverdendum to remove as little pulp as possible, remove the core with the appropriate Legmaneoli you can also decideto divide the apples halfway to remove the core more easily if you do not have the tool.Cut the apples into slices about 5 mm, sprinkle the apple slices with the lemon juice to prevent them from blackening to frying: pour the seed oil into a large pan and with a verified kitchen thermometer that reaches the temperatureof about 170 ° without overcoming it.At that point you can dive a slice of apple in the batter, making sure to cover it entirely fry a few pieces at a time, maximum 2 slices, so as not to lower the oil temperature.You can turn the apple pancakes during cooking with the help of a skimmer for a uniform gilding as they will be ready, place them on a tray lined with absorbent paper to eliminate excess oil in a small bowl mix 30 g of sugar with cinnamon inDust to taste, mix your apple pancakes are ready to taste still hot or warm;45
113;Apple crumble;Desserts;6;[['Golden apples', '750g'], ['Brown sugar', '70g'], ['Lemon juice', '½'], ['Butter', '130g'], ['Flour 00', '150g'], ['Sugar', '120g']];To prepare the apple crumble pour the flour into a bowl, the sugar the cold butter in small pieces kneaded with your hands wrap it with film, now take care of the apples: cut them in 4 parts remove the seeds and the peel in a small bowl squeezes the half lemonand pour the stirred apples and flavor them with the brown sugar, let it macerate for 30 minutes then take cocotte suitable for cooking in the oven with a diameter of 9 cm pour inside 2 tablespoons of apples also adding the juice formed on the bottom of the bowl take theshortcrust pastry and grate it with a wire rack with wide holes directly above the cocotte now cook the crumble;45
140;Creamy apple cake;Desserts;8;[['Golden apples', '700g'], ['Egg', '2'], ['Whole milk', '110g'], ['Butter', '50g'], ['Sugar', '70g'], ['Flour 00', '70g'], ['Brown sugar', 'q.b.']];To prepare the creamy cake of apples peel the apples, remove the internal torsol: the weight must be 700 g from cleaning them very thinly heat on the fire milk and butter until the latter melt then let cool.In the meantime, beat the eggs add also sugar, add the flour the mixture must be homogeneous and without lumps incorporated the apples, level it slightly sprinkle the surface with brown sugar, let the cramous apple cake cool before serving it;45
144;Butter biscuits with jam;Desserts;13;[['Flour 00', '180g'], ['Butter', '100g'], ['Sugar', '70g'], ['Yolks', '2'], ['Orange jam', '30g']];To make the butter biscuits with jam, start with the preparation of the dough: in a bowl add the flour, the sugar mix with your fingers to mix the ingredients add the butter to room temperature with the dough transfer to a plane to a surface fromwork and form a filcino of about 30 cm in length, then wrap it in plastic wrap then place them on the dripped, well spaced from each other. With the index finger, make a light pressure in the center of each ball in order to form a small basin then cook in theStatic oven preheated to 180 °, on the low shelf, for about 20 minutes.Once cooked, take out the biscuits and let them cool, then add a teaspoon of jam in the hollow of each biscuit;45
148;Orange cake;Desserts;8;[['Butter', '80g'], ['Flour 00', '270g'], ['Egg', '165g'], ['Sugar', '125g'], ['Orange juice', '180g'], ['Orange zest', '2']];To prepare the orange cake, start grating the 2 orange zest then divide them in half now, take care of the dough: sift the 00 flour in a bowl now pour the sugar into the bowl of a planetary mixer add the butter to room temperature cut into cubes thegrated orange zest and also add the sifted powders, one spoon at a time once the dough has absorbed all the flour, pour the orange juice flush without turning off the machine when the mixture is homogeneous, turn off the planetary mixer and pourThe dough obtained inside a 24 cm diameter cake tin at this point;45
149;Apples biscuits;Desserts;20;[['Golden apples', '200g'], ['Flour 00', '250g'], ['Yolks', '2'], ['Lemon zest', '1'], ['Butter', '125g'], ['Brown sugar', '20g'], ['Flour 00', '50g']];To prepare the biscuits to the apples starting from the preparation of the shortcrust pastry: in a mixer put the flour and add the cold butter of fridge cut into pieces operate the mixer form the classic fountain and sifted the icing sugar add the two united egg yolksEven the grated lemon zest cover the dough with a dry and clean cloth then cut the apples in half and peel them at this point cut each half half sliced ​​apple, roll out the pastry with a rolling pin distributing them on the entire surface of the pastry kneading all by working it, the dough will warm up and become more humid, then add another 50 grams of flour to re-compact the dough while you work it.Give your dough the shape of a sausage then wrap it in plastic wrap with a knife cut 1 centimeters thick discs with these doses you will get about twenty.Pour the brown sugar into a bowl and gently press one side of each biscuit in the sugar so that the granks of sugar adhere to the surface place the biscuits on the pan covered with parchment paper;45
160;Stewed peppers;Side Dishes;4;[['Tropea red onions', '400g'], ['Tomato puree', '400g'], ['Garlic', '2']];To prepare the peperonata, wash and dry the peppers.Then slice them for a long time, all around the core, remove the white filaments and reduce them to sliced ​​pitches and also slice the onions in a large pan, pour a drizzle of oil and the mondate but interior cloves of garlic, then heat the onions.Red the onions over medium-low heat for about 15 minutes, stirring occasionally.When they are softened and have released their water, pour the peppers season with salt and cover with a lid delete the cloves of garlic, pour the tomato puree mixed finished cooking your peperonata is ready to be enjoyed;30
175;Donut;Desserts;10;[['Egg', '230g'], ['Whole milk', '150g'], ['Lemon zest', 'q.b.'], ['Butter', '160g'], ['Sugar', '250g'], ['Flour 00', '300g']];To make the donut first, make sure that the cold fridge ingredients remain for a while at room temperature, it will be easier to work them.Then place the butter, still plastic, in small pieces in a bowl, add the sugar it will take 1-2 minutes so that the mixture is soft and homogeneous.At this point, with the whisk still in operation and at a little lower speed, add the eggs a little at a time, continue mixing with the electric whisk, mix again with the whisk, then pour the sifted flour and the yeast, mix again with thewhisk to obtain a smooth mixture and without lumps at this point flavored with lemon zest the dough is ready to butter a donut mold with a diameter of 27 cm (measured on the surface) Pour the mixture and distribute it with a spatula evenly orrotate the mold in the hands, bake the donut in a preheated static oven at 180 ° for 40 minutes placing the mold on the lowest shelf of the oven, then not in contact with the base.At the end of cooking, always do the tip of the toothpick because they may want more or less minutes depending on your oven.Then take out the cake, wait for it to be warm before turning the mold on a plate, let it cool thus without removing the mold when the dessert is warm, remove the mold, when it is completely cold sprinkle the surface with the icing sugar;45
206;Soft lemon cake;Desserts;8;[['Flour 00', '250g'], ['Sugar', '200g'], ['Egg', '170g'], ['Lemon juice', '100g'], ['Lemon zest', '2'], ['Butter', 'q.b.']];To prepare the soft lemon cake, first squeeze the juice of a lemon when you have obtained a frothy mixture, add a pinch of salt and pour the flush oil also add the zest of 2 lemons worked again with the whisk to mixall.Sift the flour in another bowl with the yeast and add the powders to the mixture one spoonful at a time, work again to incorporate the powders homogeneously now butter a 22 cm diameter mold and pour the mixture inside cook in a static ovenPreheated for 50 minutes at 170 °. Furthermore, the test of the toothpick before baking the cake, then let it cool;45
